"Table 2.1  Returns with Itemized Deductions: Sources of Income,
Adjustments, Itemized Deductions by Type, Exemptions, and Tax 
Items, by Size of Adjusted Gross Income, Tax Year 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(All figures are estimates based on samples—money amounts are in thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Size of adjusted
gross income","Number
of
returns","Adjusted
gross income
less deficit",Total income,,Salaries and wages,,Taxable interest,,Tax-exempt interest [1],,Ordinary dividends,,Qualified dividends [1],,State income tax refunds,,Alimony received,," Business or profession
net income less loss",,"Sales of capital assets,
net gain less loss",,"Sales of property other than
capital assets, net gain less loss",,"Taxable IRA
distributions",,"Taxable pensions
and annuities",,"Total rental and
royalty net income",,"Total rental and
royalty net loss",,"Farm rental net
income less loss",,"Partnership and S corporation
net income less loss",,"Estate and trust net
income less loss",,"Farm net income
less loss",,"Unemployment
compensation",,"Taxable social
security benefits",,"Net operating
loss",,"Cancellation
of debt",,"Taxable health savings
account distributions",,"Foreign-earned
income exclusion",,Gambling earnings,,"Other income
less loss",,"Total statutory
adjustments",,Itemized deductions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exemptions,,"Taxable
income",,"Alternative
minimum tax",,"Income tax
before credits",,"Total tax
credits",,"Income tax
after credits",,"Total income
tax",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,"Itemized deductions
in excess
of limitation",,Medical and dental expenses deduction,,,,,,Taxes paid deduction,,,,,,,,,,,,,,Interest paid deduction,,,,,,,,,,,,,,Contributions deduction,,,,,,,,Casualty or theft loss deduction,,Limited miscellaneous deductions,,,,,,,,,,Unlimited miscellaneous deductions,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,"Total medical
expenses",,"Medical and dental
expenses limitation",,Total,,State and local taxes,,,,,,"Real estate
taxes",,"Personal property
taxes",,"Other
taxes",,Total,,Home mortgage interest,,,,,,Deductible points,,"Qualified mortgage 
insurance premiums",,"Investment interest
expense deduction",,Total,,"Cash
contributions",,"Other than cash
contributions",,"Carryover from
prior years",,,,"Total after
limitation",,"Unreimbursed employee
business expenses",,"Tax preparation
fees",,"Other limited
miscellaneous deductions  ",,"Total miscellaneous deductions
subject to 2% AGI limitation",,Total,,"Gambling loss
deduction",,"Miscellaneous deductions
other than gambling",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,Income tax,,General sales tax,,,,,,,,,,Total,,Paid to financial institutions,,Paid to individuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
exemptions",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount,"Number of
returns",Amount
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54),(55),(56),(57),(58),(59),(60),(61),(62),(63),(64),(65),(66),(67),(68),(69),(70),(71),(72),(73),(74),(75),(76),(77),(78),(79),(80),(81),(82),(83),(84),(85),(86),(87),(88),(89),(90),(91),(92),(93),(94),(95),(96),(97),(98),(99),(100),(101),(102),(103),(104),(105),(106),(107),(108),(109),(110),(111),(112),(113),(114),(115),(116),(117),(118),(119),(120),(121),(122),(123),(124),(125),(126),(127),(128),(129),(130),(131),(132),(133),(134),(135)
"All returns, total","45,581,697","6,225,504,755","45,581,697","6,318,081,376","38,080,559","3,927,146,724","25,754,783","84,272,314","4,079,460","60,558,239","16,049,765","219,747,624","14,823,222","175,769,562","19,533,898","25,838,462","196,616","5,948,013","8,743,035","190,792,820","13,535,024","572,873,663","1,289,998","3,653,102","6,562,509","157,660,732","11,898,022","337,449,754","3,584,757","73,692,717","2,889,132","30,450,945","257,261","3,589,922","5,645,952","541,697,498","437,800","23,111,956","729,600","-3,095,186","3,290,978","23,915,232","8,548,723","129,931,069","334,769","16,908,539","388,864","5,952,191","109,747","133,832","93,380","7,385,392","1,064,885","25,418,753","3,292,171","26,684,983","15,020,222","92,576,621","1,238,693,453","2,470","13,659","10,215,951","85,312,586","10,215,951","129,825,203","10,211,954","44,512,617","45,233,072","483,081,704","43,907,077","299,502,963","33,424,186","282,963,547","10,482,891","16,539,416","39,251,103","173,308,015","19,888,727","8,462,130","2,492,156","1,804,338","35,416,360","354,057,732","34,838,306","332,610,540","34,322,419","326,143,983","1,157,823","6,466,556","2,719,082","1,661,068","4,114,661","5,366,230","1,560,983","14,419,894","37,367,247","199,270,460","34,200,602","152,157,640","22,182,567","49,047,100","565,569","31,938,858","159,624","4,945,470","11,851,076","90,388,804","14,604,311","81,428,583","21,717,122","7,223,334","7,719,312","40,383,958","28,307,259","129,035,875","1,264,044","21,650,355","929,310","17,809,053","333,976","2,567,987","106,771,488","405,479,130","42,283,414","4,626,384,684","4,078,614","32,166,319","42,026,215","1,002,279,639","18,950,480","40,778,261","39,865,286","961,501,378","39,865,286","961,501,378"
"    Under $5,000","343,685","821,920","343,685","1,161,628","94,089","1,206,281","186,708","243,370","23,577","81,739","119,985","345,854","101,781","184,271","22,058","18,582","* 1,008","* 1,004","86,750","146,920","118,528","-97,525","11,885","-271,940","48,764","293,825","65,833","245,709","22,011","109,324","29,724","331,501","4,562","-8,746","27,351","-191,987","* 1,347",* 26,"4,267","-48,162","14,907","45,452","5,898","19,060","32,144","504,123","3,357","116,831",0,0,"* 2,979","* 177,488","5,762","30,763","31,018","-38,646","81,614","339,708","5,254,023",0,0,"246,348","2,203,061","246,348","2,248,084","242,351","45,023","314,799","1,213,997","254,438","220,722","66,672","126,505","187,766","94,217","250,672","948,754","108,476","31,200","14,520","13,322","182,707","1,414,288","179,275","1,377,168","176,253","1,369,596","* 4,372","* 7,572","14,895","6,625","13,648","12,790","10,825","17,706","187,221","120,094","161,521","180,605","70,291","42,664","38,212","103,409","* 1,008","* 2,504","146,107","265,074","27,213","101,087","111,480","32,435","66,868","139,135","157,580","272,657","7,139","35,003","5,564","27,068","1,713","7,936","460,773","1,746,201","11,250","8,725",* 18,"* 1,810","6,423","2,573","* 2,208",* 117,"5,252","2,455","5,252","2,455"
"    $5,000 under $10,000","504,532","3,850,978","504,532","4,184,460","173,964","1,800,824","269,663","261,863","33,019","114,098","171,173","442,633","154,728","252,232","58,249","32,070",0,0,"148,526","488,724","162,854","-88,452","19,346","-201,141","107,103","548,100","176,698","1,375,586","48,924","226,261","47,006","398,646","* 5,005","* 19,174","48,767","-8,515","6,602","18,484","6,129","-39,007","32,304","218,742","8,292","46,616","35,347","546,887","7,926","83,155",* 104,* 151,"* 2,020","* 152,348","9,635","47,613","27,988","28,633","147,518","333,482","8,038,587",0,0,"358,909","3,487,466","358,909","3,692,324","358,909","204,857","484,736","1,573,532","439,299","297,610","135,322","128,284","303,977","169,326","371,434","1,220,120","148,309","43,233","17,168","12,569","270,575","1,885,585","258,773","1,845,106","254,399","1,793,064","11,898","52,042","16,601","6,992","27,068","27,952","14,284","5,535","305,855","429,099","262,772","404,850","130,734","80,276","27,451","156,826","* 4,125","* 27,475","166,230","588,102","57,675","268,539","187,398","53,253","72,663","297,831","236,884","619,623","13,680","47,327","9,293","38,397","4,416","8,930","723,777","2,744,757","24,400","83,545","* 1,207","* 4,537","24,704","19,351","10,514",694,"21,607","18,656","21,607","18,656"
